user_input,reference_contexts,reference,synthesizer_name
How does the proposed integration of AI education in schools prepare students for Industry 4.0?,"['Republic of the Philippines \nHOUSE OF REPRESENTATIVES \nQuezon City, Metro Manila \nTWENTIETH CONGRESS \nFirst Regular Session \nHOUSE BILL NO. ______ \nIntroduced by \nRep. Robert Nazal \nAN ACT \nINSTITUTIONALIZING THE INTEGRATION OF ARTIFICIAL INTELLIGENCE \nEDUCATION INTO THE ELEMENTARY AND SECONDARY CURRICULUM, \nPROVIDING FOR ITS IMPLEMENTATION, AND FOR OTHER PURPOSES \nEXPLANATORY NOTE \nArtificial Intelligence (AI) has emerged as a transformative force in nearly every sector \nof modern life, from healthcare and finance to agriculture, logistics, and education. In \nthe World Economic Forum’s Future of Jobs Report 2023, AI and machine learning \nspecialists ranked among the fastest-growing occupations globally. In the Philippines, AI \napplications are increasingly integrated in business operations, and creative industries. \nYet there remains a significant gap in foundational AI literacy among young Filipinos. \nBasic exposure to AI concepts and ethical frameworks during formative schooling years \nis vital to ensure that our graduates are not merely passive users of technology but \ninformed, responsible, and innovative contributors to an increasingly digital world. \nIntroducing AI education at the elementary and secondary levels will: \n1.\u200b\nPromote critical thinking, creativity, and problem-solving skills through\npractical and contextual learning;\n2.\u200b\nEquip students with an understanding of algorithms, data, and responsible AI\npractices;\n3.\u200b\nFoster a culture of innovation and scientific curiosity essential to national\ndevelopment; and\n4.\u200b\nPrepare the future workforce for the demands of Industry 4.0 and the\nemerging knowledge economy.\nThe \nDepartment \nof \nEducation \nhas \nsuccessfully \nintegrated Information and \nCommunications Technology (ICT) into the K to 12 curriculum over the past decade. \nBuilding on this foundation, this measure proposes to institutionalize AI literacy in all \nelementary and high schools nationwide. Under the bill, DepEd will develop \nJuly 21, 2025\n3:54 pm\n2186']","The proposed integration of AI education in schools aims to prepare students for Industry 4.0 by promoting critical thinking, creativity, and problem-solving skills through practical and contextual learning. It also equips students with an understanding of algorithms, data, and responsible AI practices, fostering a culture of innovation and scientific curiosity essential to national development.",single_hop_specifc_query_synthesizer
How does the Department of Science and Technology contribute to AI education initiatives?,"['age-appropriate curriculum modules in consultation with the Department of Science and \nTechnology, the Department of Information and Communications Technology, and other \npartners. Teacher capacity-building will be central to this initiative, complemented by \ninvestments in infrastructure, open-access learning resources, and training programs. \nInternational experience demonstrates that early AI education can bridge digital divides, \nreduce technology anxieties, and spark interest in careers in science and technology. \nCountries such as Singapore, China, the United States, and the United Kingdom have \nalready begun introducing AI lessons as early as primary school. If we are to remain \ncompetitive and inclusive in our development, the Philippines must likewise act with \nurgency. \nThe passage of this bill will empower the next generation of Filipinos with the \nknowledge, skills, and ethical grounding to shape AI in ways that advance national \nprogress and uphold our shared values. \nIn view of the foregoing, the immediate enactment of this measure is earnestly sought. \nRep. ROBERT NAZAL \nRepresentative']","The Department of Science and Technology collaborates in the development of age-appropriate curriculum modules, which are central to the initiative aimed at enhancing teacher capacity-building and providing necessary resources for early AI education.",single_hop_specifc_query_synthesizer
What is the significance of Quezon City in the context of AI education initiatives?,"['Republic of the Philippines \nHOUSE OF REPRESENTATIVES \nQuezon City, Metro Manila \nTWENTIETH CONGRESS \nFirst Regular Session \nHOUSE BILL NO. ______ \nIntroduced by \nRep. Robert Nazal \nAN ACT \nINSTITUTIONALIZING THE INTEGRATION OF ARTIFICIAL INTELLIGENCE \nEDUCATION INTO THE ELEMENTARY AND SECONDARY CURRICULUM, \nPROVIDING FOR ITS IMPLEMENTATION, AND FOR OTHER PURPOSES \nBe it enacted by the Senate and House of Representatives of the Philippines in \nCongress assembled: \nSEC. 1. TITLE.  \nThis Act shall be known as the “Artificial Intelligence Education Act of 2025.” \nSEC. 2. DECLARATION OF POLICY.  \nIt is the policy of the State to promote scientific and technological literacy, innovation, \nand competitiveness among Filipino learners. Recognizing the transformative impact of \nArtificial Intelligence (AI) in all sectors of society, the State shall ensure that students are \nequipped with foundational knowledge and skills in AI, ethics, and responsible use of \nemerging technologies, thereby preparing them for the future of work and active \nparticipation in the digital economy. \nSEC. 3. STATEMENT OF OBJECTIVES.  \nThis Act shall have the following objectives: \nA.\u200b\nTo integrate basic concepts, applications, and ethical considerations of Artificial\nIntelligence in the K to 12 curriculum;\nB.\u200b\nTo build capacity among teachers and school administrators to deliver AI\neducation effectively;\n2186']","Quezon City is the location where the House of Representatives of the Philippines introduced the 'Artificial Intelligence Education Act of 2025,' which aims to institutionalize the integration of AI education into the elementary and secondary curriculum.",single_hop_specifc_query_synthesizer
How does the Commission on Higher Education contribute to the integration of AI education in the Philippine basic education system?,"[""C.\u200b\nTo foster creativity, problem-solving, and critical thinking skills among students \nthrough exposure to AI tools and projects; \n \nD.\u200b\nTo promote inclusive access to AI education, especially in public schools and \nunderserved communities; and \n \nE.\u200b\nTo establish partnerships with academic institutions, industry, and international \norganizations to enhance curriculum content and teacher training. \n \nSEC. 4. SCOPE AND COVERAGE.  \n \nThe integration of AI education shall cover all public and private elementary and \nsecondary schools nationwide. The curriculum shall be age-appropriate and \ncontextualized to different grade levels and learner capacities. \n \nSEC. 5. CURRICULUM DEVELOPMENT.  \n \nThe Department of Education (DepEd), in coordination with the Department of Science \nand Technology (DOST), the Commission on Higher Education (CHED), the \nDepartment of Information and Communications Technology (DICT), and relevant \nstakeholders, shall ensure the effective and meaningful introduction of Artificial \nIntelligence (AI) education in the Philippine basic education system. In this regard, the \nfollowing shall be undertaken: \n \nA.\u200b\nCurriculum and Instructional Materials Development. - DepEd shall formulate \ncomprehensive curriculum guides, lesson plans, teaching strategies, and learning \nresources on AI concepts and applications that are suitable for learners from \nGrades 4 to 12. These materials shall be tailored to the learners' age, cognitive \nlevel, and capacity to understand basic to intermediate AI topics. The development \nof such resources must be completed within two (2) years from the date this Act \ntakes effect. \n \nB.\u200b\nRegular Review and Updating. - The AI curriculum and related learning materials \nshall be regularly reviewed and updated to keep pace with rapid technological \nadvancements in the field of AI. This ensures that students are learning the most \ncurrent concepts, tools, and best practices used in real-world AI environments. \n \nC.\u200b\nIntegration of Ethics and Responsible AI Use. - Modules and lessons shall include \nkey topics such as data privacy, responsible data use, algorithmic fairness, and \nethical considerations in the development and deployment of AI technologies. \nThese lessons will aim to instill in learners a strong sense of social responsibility \nand awareness of the potential risks and impacts of AI on individuals, \ncommunities, and society. \n \nD.\u200b\nPilot Implementation. - Before full-scale implementation, the AI curriculum shall be \npilot-tested in selected schools to evaluate its effectiveness, appropriateness, and""]","The Commission on Higher Education (CHED) collaborates with the Department of Education (DepEd), the Department of Science and Technology (DOST), the Department of Information and Communications Technology (DICT), and relevant stakeholders to ensure the effective and meaningful introduction of Artificial Intelligence (AI) education in the Philippine basic education system. This includes formulating comprehensive curriculum guides, lesson plans, teaching strategies, and learning resources on AI concepts and applications suitable for learners from Grades 4 to 12, as well as ensuring regular review and updating of the AI curriculum to keep pace with technological advancements.",single_hop_specifc_query_synthesizer
Wht is the role of DepEd in teacher training for AI?,"['relevance. Feedback gathered from these pilot schools—especially from teachers, \nstudents, and parents—shall be used to make necessary improvements and \nrefinements to the curriculum. \n \nSEC. 6. TEACHER TRAINING AND CAPACITY-BUILDING.  \n \nDepEd shall design and implement a continuous professional development program for \nteachers, including: \n \nA.\u200b\nTraining in basic AI concepts, programming fundamentals, and AI tools; \n \nB.\u200b\nPedagogical strategies for effective AI instruction; \n \nC.\u200b\nCertification programs in collaboration with academic institutions and industry \npartners; and \n \nD.\u200b\nProvision of teaching resources, reference materials, and technical support. \n \nSEC. 7. LEARNING RESOURCES AND INFRASTRUCTURE.  \n \nTo facilitate effective teaching and learning of AI, DepEd, in collaboration with DICT and \nDOST, shall: \n \nA.\u200b\nEnsure availability of computers, internet connectivity, and software in all schools; \nB.\u200b\nDevelop an open-access online repository of AI learning materials; and \nC.\u200b\nProvide technical assistance to schools in resource-limited settings. \n \nSEC. 8. INCLUSION OF AI AWARENESS IN EARLY GRADES.  \n \nDepEd shall introduce age-appropriate content on AI awareness and digital literacy for \nGrades 1 to 3 to build foundational understanding of technology and responsible digital \ncitizenship. These lessons shall focus on helping children understand, in simple terms, \nhow technology is used in everyday life and the importance of using digital tools safely \nand responsibly.  \n \nSEC. 9. PARTNERSHIPS AND COLLABORATION.  \n \nDepEd is authorized to enter into memoranda of agreement with private sector entities, \ninternational organizations, professional associations, and higher education institutions \nto: \n \nA.\u200b\nSupport curriculum enhancement and teacher training; \nB.\u200b\nPromote student competitions, camps, and innovation challenges in AI; and \nC.\u200b\nFacilitate donations of equipment and software.']","DepEd shall design and implement a continuous professional development program for teachers, which includes training in basic AI concepts, programming fundamentals, and AI tools, as well as pedagogical strategies for effective AI instruction. Additionally, DepEd will collaborate with academic institutions and industry partners to offer certification programs and provide teaching resources, reference materials, and technical support.",single_hop_specifc_query_synthesizer
What is the role of Congress in the implementation of AI education programs?,"['SEC. 10. MONITORING AND EVALUATION.  \n \nDepEd shall establish a monitoring and evaluation framework to assess the \nimplementation and impact of AI education programs, including learning outcomes and \nteacher readiness, and submit an annual report to Congress. \n \nSEC. 11. INCENTIVES.  \n \nSchools that demonstrate exemplary performance in integrating AI into their curriculum \nshall be eligible to receive recognition, grants, and other forms of support as may be \ndetermined by the Department of Education (DepEd), including, but not limited to, \nfinancial grants to enhance AI learning facilities and procure necessary equipment, and \naccess to training programs for teachers and administrators. DepEd may also facilitate \ntechnical assistance or partnerships with academic and industry experts to support \nthese schools in further developing their AI education programs.  \n \nSEC. 12. APPROPRIATIONS.  \n \nThe funds necessary to carry out the initial implementation of this Act shall be charged \nagainst the respective budget of concerned agencies for the current year. Thereafter, \nsuch amount as may be necessary for the continued implementation shall be included \nin the annual General Appropriations Act. \n \nSEC. 13. IMPLEMENTING RULES AND REGULATIONS.  \n \nThe Department of Education, in consultation with concerned agencies, shall \npromulgate the implementing rules and regulations of this Act within ninety (90) days \nupon its effectivity. \n \nSEC. 14. REPEALING CLAUSE.  \n \nAll laws, decrees, executive issuances, rules, and regulations inconsistent with this Act \nare hereby repealed or modified accordingly. \n \nSEC. 15. SEPARABILITY CLAUSE.  \n \nIf any provision of this Act is declared invalid or unconstitutional, the remaining \nprovisions shall remain in full force and effect. \n \nSEC. 16. EFFECTIVITY CLAUSE.  \n \nThis Act shall take effect fifteen days after its publication in the Official Gazette or in a \nnewspaper of general circulation. \n \nApproved,']",Congress is involved in the oversight of AI education programs through the requirement for the Department of Education (DepEd) to submit an annual report to Congress assessing the implementation and impact of these programs.,single_hop_specifc_query_synthesizer
Who is PIA S. CAYETANO?,"[""TWENTIETH CONGRESS OF THE \nREPUBLIC OF THE PHILIPPINES \nFirst Regular Session\n25 ,JUL-2 P4 55\nSENATE\nS. No.\n25\nIntroduced by Senator PIA S. CAYETANO\nAN ACT\nREGULATING THE DEVELOPMENT AND USE OF ARTIFICIAL INTELLIGENCE \nSYSTEMS IN THE PHILIPPINES, PROMOTING ETHICAL AND RESPONSIBLE \nARTIFICIAL INTELLIGENCE INNOVATION, AND INTEGRATING \nSUSTAINABILITY AND FUTURES THINKING IN NATIONAL POLICY MAKING, \nAND FOR OTHER PURPOSES\nEXPLANATORY NOTE\nThe rise of Artificial Intelligence (AI) is profoundly transforming industries, \ngovernance systems, and societies worldwide. As the Phiiippines continues its digital \ntransformation journey, there is an urgent need for a nationai framework that ensures \nthe safe, responsibie, and ethical use of AI, aligned with our vision of an inclusive, \ninnovative, and secure digital future.\nThe European Union's landmark AI Act of 2024, the world's first comprehensive \nlegal framework on AI, highlights the importance of risk-based classification, \ntransparency, accountability, and human oversight.1 In the same way, the United Nations \nSecretary-General's High-Level Advisory Body on AI emphasizes the need for coordinated \nglobal governance to uphold rights-based, transparent, and inclusive AI development.2 \nThese international efforts reflect a growing giobal recognition. While AI holds vast \neconomic and societai potential, it must be accompanied by a robust regulatory legal \nframework.\n1 European Union AI Act. (2024). World's First Comprehensive AI Law \nhttps://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence \n2CD0 Magazine. (2024). UN advisory body's 7 key recommendations for global AI governance. \nhttps://www.cdomagazine.tech/aiml/un-advisory-bodys-7-key-recommendations-for-global-ai- \ngovernance?utm""]","PIA S. CAYETANO is a Senator in the Philippines who introduced an act regulating the development and use of artificial intelligence systems in the country, promoting ethical and responsible AI innovation.",single_hop_specifc_query_synthesizer
How does the integration of AI education in the curriculum promote creativity and enhance teacher training?,"[""<1-hop>\n\nC.\u200b\nTo foster creativity, problem-solving, and critical thinking skills among students \nthrough exposure to AI tools and projects; \n \nD.\u200b\nTo promote inclusive access to AI education, especially in public schools and \nunderserved communities; and \n \nE.\u200b\nTo establish partnerships with academic institutions, industry, and international \norganizations to enhance curriculum content and teacher training. \n \nSEC. 4. SCOPE AND COVERAGE.  \n \nThe integration of AI education shall cover all public and private elementary and \nsecondary schools nationwide. The curriculum shall be age-appropriate and \ncontextualized to different grade levels and learner capacities. \n \nSEC. 5. CURRICULUM DEVELOPMENT.  \n \nThe Department of Education (DepEd), in coordination with the Department of Science \nand Technology (DOST), the Commission on Higher Education (CHED), the \nDepartment of Information and Communications Technology (DICT), and relevant \nstakeholders, shall ensure the effective and meaningful introduction of Artificial \nIntelligence (AI) education in the Philippine basic education system. In this regard, the \nfollowing shall be undertaken: \n \nA.\u200b\nCurriculum and Instructional Materials Development. - DepEd shall formulate \ncomprehensive curriculum guides, lesson plans, teaching strategies, and learning \nresources on AI concepts and applications that are suitable for learners from \nGrades 4 to 12. These materials shall be tailored to the learners' age, cognitive \nlevel, and capacity to understand basic to intermediate AI topics. The development \nof such resources must be completed within two (2) years from the date this Act \ntakes effect. \n \nB.\u200b\nRegular Review and Updating. - The AI curriculum and related learning materials \nshall be regularly reviewed and updated to keep pace with rapid technological \nadvancements in the field of AI. This ensures that students are learning the most \ncurrent concepts, tools, and best practices used in real-world AI environments. \n \nC.\u200b\nIntegration of Ethics and Responsible AI Use. - Modules and lessons shall include \nkey topics such as data privacy, responsible data use, algorithmic fairness, and \nethical considerations in the development and deployment of AI technologies. \nThese lessons will aim to instill in learners a strong sense of social responsibility \nand awareness of the potential risks and impacts of AI on individuals, \ncommunities, and society. \n \nD.\u200b\nPilot Implementation. - Before full-scale implementation, the AI curriculum shall be \npilot-tested in selected schools to evaluate its effectiveness, appropriateness, and"", '<2-hop>\n\nrelevance. Feedback gathered from these pilot schools—especially from teachers, \nstudents, and parents—shall be used to make necessary improvements and \nrefinements to the curriculum. \n \nSEC. 6. TEACHER TRAINING AND CAPACITY-BUILDING.  \n \nDepEd shall design and implement a continuous professional development program for \nteachers, including: \n \nA.\u200b\nTraining in basic AI concepts, programming fundamentals, and AI tools; \n \nB.\u200b\nPedagogical strategies for effective AI instruction; \n \nC.\u200b\nCertification programs in collaboration with academic institutions and industry \npartners; and \n \nD.\u200b\nProvision of teaching resources, reference materials, and technical support. \n \nSEC. 7. LEARNING RESOURCES AND INFRASTRUCTURE.  \n \nTo facilitate effective teaching and learning of AI, DepEd, in collaboration with DICT and \nDOST, shall: \n \nA.\u200b\nEnsure availability of computers, internet connectivity, and software in all schools; \nB.\u200b\nDevelop an open-access online repository of AI learning materials; and \nC.\u200b\nProvide technical assistance to schools in resource-limited settings. \n \nSEC. 8. INCLUSION OF AI AWARENESS IN EARLY GRADES.  \n \nDepEd shall introduce age-appropriate content on AI awareness and digital literacy for \nGrades 1 to 3 to build foundational understanding of technology and responsible digital \ncitizenship. These lessons shall focus on helping children understand, in simple terms, \nhow technology is used in everyday life and the importance of using digital tools safely \nand responsibly.  \n \nSEC. 9. PARTNERSHIPS AND COLLABORATION.  \n \nDepEd is authorized to enter into memoranda of agreement with private sector entities, \ninternational organizations, professional associations, and higher education institutions \nto: \n \nA.\u200b\nSupport curriculum enhancement and teacher training; \nB.\u200b\nPromote student competitions, camps, and innovation challenges in AI; and \nC.\u200b\nFacilitate donations of equipment and software.']","The integration of AI education in the curriculum promotes creativity by fostering problem-solving and critical thinking skills among students through exposure to AI tools and projects. Additionally, it enhances teacher training by implementing a continuous professional development program that includes training in basic AI concepts, pedagogical strategies for effective AI instruction, and certification programs in collaboration with academic institutions and industry partners.",multi_hop_abstract_query_synthesizer
What are the objectives of the Artificial Intelligence Education Act of 2025 in relation to the regulation of artificial intelligence systems in the Philippines?,"['<1-hop>\n\nRepublic of the Philippines \nHOUSE OF REPRESENTATIVES \nQuezon City, Metro Manila \nTWENTIETH CONGRESS \nFirst Regular Session \nHOUSE BILL NO. ______ \nIntroduced by \nRep. Robert Nazal \nAN ACT \nINSTITUTIONALIZING THE INTEGRATION OF ARTIFICIAL INTELLIGENCE \nEDUCATION INTO THE ELEMENTARY AND SECONDARY CURRICULUM, \nPROVIDING FOR ITS IMPLEMENTATION, AND FOR OTHER PURPOSES \nBe it enacted by the Senate and House of Representatives of the Philippines in \nCongress assembled: \nSEC. 1. TITLE.  \nThis Act shall be known as the “Artificial Intelligence Education Act of 2025.” \nSEC. 2. DECLARATION OF POLICY.  \nIt is the policy of the State to promote scientific and technological literacy, innovation, \nand competitiveness among Filipino learners. Recognizing the transformative impact of \nArtificial Intelligence (AI) in all sectors of society, the State shall ensure that students are \nequipped with foundational knowledge and skills in AI, ethics, and responsible use of \nemerging technologies, thereby preparing them for the future of work and active \nparticipation in the digital economy. \nSEC. 3. STATEMENT OF OBJECTIVES.  \nThis Act shall have the following objectives: \nA.\u200b\nTo integrate basic concepts, applications, and ethical considerations of Artificial\nIntelligence in the K to 12 curriculum;\nB.\u200b\nTo build capacity among teachers and school administrators to deliver AI\neducation effectively;\n2186', ""<2-hop>\n\nTWENTIETH CONGRESS OF THE \nREPUBLIC OF THE PHILIPPINES \nFirst Regular Session\n25 ,JUL-2 P4 55\nSENATE\nS. No.\n25\nIntroduced by Senator PIA S. CAYETANO\nAN ACT\nREGULATING THE DEVELOPMENT AND USE OF ARTIFICIAL INTELLIGENCE \nSYSTEMS IN THE PHILIPPINES, PROMOTING ETHICAL AND RESPONSIBLE \nARTIFICIAL INTELLIGENCE INNOVATION, AND INTEGRATING \nSUSTAINABILITY AND FUTURES THINKING IN NATIONAL POLICY MAKING, \nAND FOR OTHER PURPOSES\nEXPLANATORY NOTE\nThe rise of Artificial Intelligence (AI) is profoundly transforming industries, \ngovernance systems, and societies worldwide. As the Phiiippines continues its digital \ntransformation journey, there is an urgent need for a nationai framework that ensures \nthe safe, responsibie, and ethical use of AI, aligned with our vision of an inclusive, \ninnovative, and secure digital future.\nThe European Union's landmark AI Act of 2024, the world's first comprehensive \nlegal framework on AI, highlights the importance of risk-based classification, \ntransparency, accountability, and human oversight.1 In the same way, the United Nations \nSecretary-General's High-Level Advisory Body on AI emphasizes the need for coordinated \nglobal governance to uphold rights-based, transparent, and inclusive AI development.2 \nThese international efforts reflect a growing giobal recognition. While AI holds vast \neconomic and societai potential, it must be accompanied by a robust regulatory legal \nframework.\n1 European Union AI Act. (2024). World's First Comprehensive AI Law \nhttps://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence \n2CD0 Magazine. (2024). UN advisory body's 7 key recommendations for global AI governance. \nhttps://www.cdomagazine.tech/aiml/un-advisory-bodys-7-key-recommendations-for-global-ai- \ngovernance?utm""]","The objectives of the Artificial Intelligence Education Act of 2025 include integrating basic concepts, applications, and ethical considerations of Artificial Intelligence into the K to 12 curriculum, as well as building capacity among teachers and school administrators to deliver AI education effectively. This aligns with the broader goal of regulating the development and use of AI systems in the Philippines, promoting ethical and responsible AI innovation, and ensuring that students are prepared for the digital economy.",multi_hop_abstract_query_synthesizer
What ethical considerations are involved in the implementation of AI education programs as outlined by the Department of Education?,"['<1-hop>\n\nSEC. 10. MONITORING AND EVALUATION.  \n \nDepEd shall establish a monitoring and evaluation framework to assess the \nimplementation and impact of AI education programs, including learning outcomes and \nteacher readiness, and submit an annual report to Congress. \n \nSEC. 11. INCENTIVES.  \n \nSchools that demonstrate exemplary performance in integrating AI into their curriculum \nshall be eligible to receive recognition, grants, and other forms of support as may be \ndetermined by the Department of Education (DepEd), including, but not limited to, \nfinancial grants to enhance AI learning facilities and procure necessary equipment, and \naccess to training programs for teachers and administrators. DepEd may also facilitate \ntechnical assistance or partnerships with academic and industry experts to support \nthese schools in further developing their AI education programs.  \n \nSEC. 12. APPROPRIATIONS.  \n \nThe funds necessary to carry out the initial implementation of this Act shall be charged \nagainst the respective budget of concerned agencies for the current year. Thereafter, \nsuch amount as may be necessary for the continued implementation shall be included \nin the annual General Appropriations Act. \n \nSEC. 13. IMPLEMENTING RULES AND REGULATIONS.  \n \nThe Department of Education, in consultation with concerned agencies, shall \npromulgate the implementing rules and regulations of this Act within ninety (90) days \nupon its effectivity. \n \nSEC. 14. REPEALING CLAUSE.  \n \nAll laws, decrees, executive issuances, rules, and regulations inconsistent with this Act \nare hereby repealed or modified accordingly. \n \nSEC. 15. SEPARABILITY CLAUSE.  \n \nIf any provision of this Act is declared invalid or unconstitutional, the remaining \nprovisions shall remain in full force and effect. \n \nSEC. 16. EFFECTIVITY CLAUSE.  \n \nThis Act shall take effect fifteen days after its publication in the Official Gazette or in a \nnewspaper of general circulation. \n \nApproved,', '<2-hop>\n\n1 \nground its responses in verifiable information. There are two (2) general\n2 \ntypes:\n3 \ni) Intrinsic hallucination - when the model generates content\n4 \ninconsistent with the source input or prompt.\n5 \nii) \nExtrinsic hallucination - when the content is not supported by the\n6 \ninput but cannot be definitively labeled as incorrect due to lack of\n7 \nground truth.\n8 \nj) Highest level of responsibility and ethical consideration - refers to the\n9 \nlevel of diligence required of all persons, corporations, institutions, and\n10 \norganizations engaged in the development and deployment of AI to\n11 \nensure that AI systems are developed and used for the common good\n12 \nand does not facilitate crime, harm, or social injustice.\n13 \nk) Machine Learning (ML) - refers to a subset of AI that enables systems\n14 \nto learn from data and improve performance over time without being\n15 \nexplicitly programmed.\n16 \nI) Neural Networks - refer to computational models inspired by the\n17 \nstructure and function of the human brain, designed to recognize\n18 \npatterns and relationships in data.\n19 \nm) Generative AI- refers to AI systems capable of producing text, images,\n20 \nmusic, video, or other content including LLM.\n21 \nn) Large Language Models (LLMs)-refer to a type of generative AI trained\n22 \non vast datasets to generate human-like text, translate language,\n23 \nsummarize information, or answer questions.\n24 \no) Multimodal Models- refer to systems designed to process and integrate\n25 \ninformation from multiple data modalities—such as text, images, audio,\n26 \nand video—within a single unified framework. These models learn to\n27 \nunderstand and generate responses by finding relationships and\n28 \npatterns across different types of inputs.\n29 \nSec. 5. National AI Commission. - There is hereby established a policy-making\n30 \nand quasi-judicial body to be known as the National AI Commission, hereinafter\n31 \nreferred to as ""NAIC."" The NAIC shall be an agency attached to the Department of\n32 \nScience and Technology (DOST).']","The ethical considerations involved in the implementation of AI education programs include the highest level of responsibility required of all persons, corporations, institutions, and organizations engaged in the development and deployment of AI. This ensures that AI systems are developed and used for the common good and do not facilitate crime, harm, or social injustice.",multi_hop_abstract_query_synthesizer
